[project, merge commit, file, approach, timeStamp]
accumulo,6338319cf82cd93d16654679417ebb9ef1a33724,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/6338319cf82cd93d16654679417ebb9ef1a33724/org/apache/accumulo/core/conf/Property,InsertionLevelInitializationBlockHandler,6,469 ms
accumulo,6338319cf82cd93d16654679417ebb9ef1a33724,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/6338319cf82cd93d16654679417ebb9ef1a33724/org/apache/accumulo/core/conf/Property,SimpleInitializationBlockHandler,6,524 ms
accumulo,0a09c287e48485a4909fcdb5343db269898eec80,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/0a09c287e48485a4909fcdb5343db269898eec80/org/apache/accumulo/test/util/CertUtils,InsertionLevelInitializationBlockHandler,3,747 ms
accumulo,0a09c287e48485a4909fcdb5343db269898eec80,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/0a09c287e48485a4909fcdb5343db269898eec80/org/apache/accumulo/test/util/CertUtils,SimpleInitializationBlockHandler,3,718 ms
accumulo,6af856b38bb57f49418547a8b9c262c66a1fe31e,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/6af856b38bb57f49418547a8b9c262c66a1fe31e/org/apache/accumulo/tserver/TabletServer,InsertionLevelInitializationBlockHandler,21,443 ms
accumulo,6af856b38bb57f49418547a8b9c262c66a1fe31e,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/6af856b38bb57f49418547a8b9c262c66a1fe31e/org/apache/accumulo/tserver/TabletServer,SimpleInitializationBlockHandler,21,885 ms
accumulo,a6230566ef784b27adbf19b83c6a7099c8f0a77a,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/a6230566ef784b27adbf19b83c6a7099c8f0a77a/org/apache/accumulo/core/conf/Property,InsertionLevelInitializationBlockHandler,5,914 ms
accumulo,a6230566ef784b27adbf19b83c6a7099c8f0a77a,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/a6230566ef784b27adbf19b83c6a7099c8f0a77a/org/apache/accumulo/core/conf/Property,SimpleInitializationBlockHandler,5,068 ms
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/be2b3020bdceeee936c6a4f499ea4590d114be5f/org/apache/accumulo/proxy/thrift/AccumuloException,InsertionLevelInitializationBlockHandler,1,532 ms
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/be2b3020bdceeee936c6a4f499ea4590d114be5f/org/apache/accumulo/proxy/thrift/KeyValueAndPeek,InsertionLevelInitializationBlockHandler,1,584 ms
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,C:/UFPE/miningframework/SOOTAnalysisOutput/accumulo/be2b3020bdceeee936c6a4f499ea4590d114be5f/org/apache/accumulo/core/client/impl/thrift/ThriftSecurityException,InsertionLevelInitializationBlockHandler,1,548 ms
