project;merge commit;className;method;left modifications;has_build;left deletions;right modifications;right deletions
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;createJob(int);[191];false;[];[191];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;testLabels();[163, 168];false;[];[163, 168];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.model.Hudson;copy(T, String);[];false;[];[];[]
jenkins;0ed1a3581d14cbb4b86ad888e6dc8ae9776077a7;hudson.scm.SubversionSCM;invoke(File, VirtualChannel);[533, 841, 845, 831];false;[545];[533, 841, 845, 831];[545]
jenkins;2308cfae793f11eb46fc5c10f7e367a24a9fb68c;hudson.remoting.Pipe;readObject(ObjectInputStream);[163, 156];false;[];[163, 156];[]
jenkins;2308cfae793f11eb46fc5c10f7e367a24a9fb68c;hudson.cli.GroovyshCommand;main(List<String>, InputStream, PrintStream, PrintStream);[40];false;[];[40];[]
jenkins;2308cfae793f11eb46fc5c10f7e367a24a9fb68c;hudson.slaves.JNLPLauncherTest;testLaunch();[54];false;[];[54];[]
jenkins;f88a9502a586b5562059e1a2364bdae10e8f9fd1;hudson.security.GlobalMatrixAuthorizationStrategy;migrateHudson2324(Map<Permission,Set<String>>);[125];false;[];[125];[]
jenkins;f88a9502a586b5562059e1a2364bdae10e8f9fd1;hudson.model.Hudson;copy(T, String);[];false;[];[];[]
jenkins;f88a9502a586b5562059e1a2364bdae10e8f9fd1;hudson.util.VersionNumberTest;testSnapshots();[51, 52];false;[];[51, 52];[]
jenkins;af9ccc42bd055f1cbb9f8eb5ad156ca95dcb19da;hudson.model.ChoiceParameterDefinition;ChoiceParameterDefinition(String, String, String);[23];false;[];[23];[]
jenkins;27fcc28facd27335263af73d5be7695e0841b44b;hudson.PluginManager;loadBundledPlugins();[183];false;[];[183];[]
jenkins;27fcc28facd27335263af73d5be7695e0841b44b;hudson.ClassicPluginStrategy;createPluginWrapper(File);[166, 171];false;[];[166, 171];[]
jenkins;27fcc28facd27335263af73d5be7695e0841b44b;hudson.ClassicPluginStrategy;load(PluginWrapper);[206, 207];false;[];[206, 207];[]
jenkins;4b47fd523a35253f88cb10db5b1dc5dcc05a50e4;org.jvnet.hudson.test.HudsonTestCase;tearDown();[229, 230];false;[];[229, 230];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.WebAppMain;contextInitialized(ServletContextEvent);[];false;[];[];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;create5SlowJobs();[208, 211];false;[];[208, 211];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;verifySuccessfulCompletion(List<Future<FreeStyleBuild>>);[229, 230, 231, 232, 233, 234, 235];false;[];[229, 230, 231, 232, 233, 234, 235];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;testBaselineSlaveUsage();[142];false;[];[142];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;testAutoProvision();[101];false;[];[101];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;testLoadSpike();[121];false;[];[121];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;createJob(int);[191];false;[];[191];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.slaves.NodeProvisionerTest;testLabels();[163, 168];false;[];[163, 168];[]
jenkins;4f89f013eadafc05b24c473494800d9530308505;hudson.model.Hudson;copy(T, String);[];false;[];[];[]
