project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
Activiti;12e8825ba43239b7f1a25362713952c3f1ba63b4;48b62c18fa1e769c9c5ef54da9c0f695ba423c2b;eb8f6e044b;64e4af2aaf;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeIT.java;0
Activiti;12e8825ba43239b7f1a25362713952c3f1ba63b4;48b62c18fa1e769c9c5ef54da9c0f695ba423c2b;eb8f6e044b;64e4af2aaf;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeIT.java;0
Activiti;12e8825ba43239b7f1a25362713952c3f1ba63b4;48b62c18fa1e769c9c5ef54da9c0f695ba423c2b;eb8f6e044b;64e4af2aaf;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessEngineAutoConfiguration.java;0
Activiti;12e8825ba43239b7f1a25362713952c3f1ba63b4;48b62c18fa1e769c9c5ef54da9c0f695ba423c2b;eb8f6e044b;64e4af2aaf;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessEngineAutoConfiguration.java;0
Activiti;2ee49bb8bbbd62d0f784aa20d1960a2e2c570fc4;4bdb7f0edadaab37ff6235f8f01f7f0219549ea4;741e56cfcf;f59e0d31a7;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/DefaultActivityBehaviorFactoryMappingConfigurer.java;0
Activiti;2ee49bb8bbbd62d0f784aa20d1960a2e2c570fc4;4bdb7f0edadaab37ff6235f8f01f7f0219549ea4;741e56cfcf;f59e0d31a7;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/DefaultActivityBehaviorFactoryMappingConfigurer.java;0
Activiti;3f27da8d292983bc644d8fdb3fcce32b6bfb4c4c;20f2bdf18f01ded52a54a12a703d9b2795a6ab19;d6fd24b6e3;c3dc015f94;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/VariablesMappingProvider.java;0
Activiti;3f27da8d292983bc644d8fdb3fcce32b6bfb4c4c;20f2bdf18f01ded52a54a12a703d9b2795a6ab19;d6fd24b6e3;c3dc015f94;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/VariablesMappingProvider.java;0
Activiti;523cb38c0a5cfb0aa00c7507cede3d665b5b8792;23eeecb6c88e7392eb598ad0e10e388d567dc662;516d76768b;fb956a5ff0;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/tasks/TaskRuntimeVariableMappingTest.java;0
Activiti;523cb38c0a5cfb0aa00c7507cede3d665b5b8792;23eeecb6c88e7392eb598ad0e10e388d567dc662;516d76768b;fb956a5ff0;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/tasks/TaskRuntimeVariableMappingTest.java;0
Activiti;523cb38c0a5cfb0aa00c7507cede3d665b5b8792;23eeecb6c88e7392eb598ad0e10e388d567dc662;516d76768b;fb956a5ff0;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/VariablesMappingProvider.java;0
Activiti;523cb38c0a5cfb0aa00c7507cede3d665b5b8792;23eeecb6c88e7392eb598ad0e10e388d567dc662;516d76768b;fb956a5ff0;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/VariablesMappingProvider.java;0
Activiti;523cb38c0a5cfb0aa00c7507cede3d665b5b8792;23eeecb6c88e7392eb598ad0e10e388d567dc662;516d76768b;fb956a5ff0;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeCallActivityMappingIT.java;0
Activiti;523cb38c0a5cfb0aa00c7507cede3d665b5b8792;23eeecb6c88e7392eb598ad0e10e388d567dc662;516d76768b;fb956a5ff0;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeCallActivityMappingIT.java;0
Activiti;12c0be584639a8c7ca23010ea1b397a7b130f453;646a63101fa764b835f57209fe12fe4c719b5b02;77e7afe32d;8f21e89270;activiti-spring-connector/src/main/java/org/activiti/core/common/spring/connector/autoconfigure/ConnectorAutoConfiguration.java;0
Activiti;12c0be584639a8c7ca23010ea1b397a7b130f453;646a63101fa764b835f57209fe12fe4c719b5b02;77e7afe32d;8f21e89270;activiti-spring-connector/src/main/java/org/activiti/core/common/spring/connector/autoconfigure/ConnectorAutoConfiguration.java;0
Activiti;334c5ab8c76966f772b26e46eca49706d5268fd0;2eeb7b0111de55681a34f864fb2131f697adeee7;6f6e81cb25;fefb3eedd4;activiti-spring-connector/src/main/java/org/activiti/core/common/spring/connector/autoconfigure/ConnectorAutoConfiguration.java;0
Activiti;334c5ab8c76966f772b26e46eca49706d5268fd0;2eeb7b0111de55681a34f864fb2131f697adeee7;6f6e81cb25;fefb3eedd4;activiti-spring-connector/src/main/java/org/activiti/core/common/spring/connector/autoconfigure/ConnectorAutoConfiguration.java;0
Activiti;4204d92395b7c6fdaff796406c6140da7a115dfa;f1df4d38e98783f7f23db687a7da902d7dc69528;621064bd21;31f1f61705;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/conf/activiti/runtime/api/ProcessRuntimeAutoConfiguration.java;0
Activiti;4204d92395b7c6fdaff796406c6140da7a115dfa;f1df4d38e98783f7f23db687a7da902d7dc69528;621064bd21;31f1f61705;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/conf/activiti/runtime/api/ProcessRuntimeAutoConfiguration.java;0
Activiti;8be3dd161a3ae1ac4094cc5c634f57d6523b76dd;2218d522f3f76a0f51f74bce69834ce7f1f3c872;f9d0daa901;f1df4d38e9;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties.java;0
Activiti;8be3dd161a3ae1ac4094cc5c634f57d6523b76dd;2218d522f3f76a0f51f74bce69834ce7f1f3c872;f9d0daa901;f1df4d38e9;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ActivitiProperties.java;0
Activiti;8be3dd161a3ae1ac4094cc5c634f57d6523b76dd;2218d522f3f76a0f51f74bce69834ce7f1f3c872;f9d0daa901;f1df4d38e9;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessEngineAutoConfiguration.java;0
Activiti;8be3dd161a3ae1ac4094cc5c634f57d6523b76dd;2218d522f3f76a0f51f74bce69834ce7f1f3c872;f9d0daa901;f1df4d38e9;activiti-spring-boot-starter/src/main/java/org/activiti/spring/boot/ProcessEngineAutoConfiguration.java;0
Activiti;f402a104ad9e58af019d60c6ba598cba8c797bd3;1253d375ea819f19fa2d031076ca3d090898d596;9437d7d747;f1df4d38e9;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/ProcessAdminRuntimeImpl.java;0
Activiti;f402a104ad9e58af019d60c6ba598cba8c797bd3;1253d375ea819f19fa2d031076ca3d090898d596;9437d7d747;f1df4d38e9;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/ProcessAdminRuntimeImpl.java;0
Activiti;f402a104ad9e58af019d60c6ba598cba8c797bd3;1253d375ea819f19fa2d031076ca3d090898d596;9437d7d747;f1df4d38e9;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeTest.java;0
Activiti;f402a104ad9e58af019d60c6ba598cba8c797bd3;1253d375ea819f19fa2d031076ca3d090898d596;9437d7d747;f1df4d38e9;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeTest.java;0
Activiti;f402a104ad9e58af019d60c6ba598cba8c797bd3;1253d375ea819f19fa2d031076ca3d090898d596;9437d7d747;f1df4d38e9;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/ProcessRuntimeImpl.java;0
Activiti;f402a104ad9e58af019d60c6ba598cba8c797bd3;1253d375ea819f19fa2d031076ca3d090898d596;9437d7d747;f1df4d38e9;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/impl/ProcessRuntimeImpl.java;0
Activiti;e229c4c28afedab0db0f3c5856a87bf1448d5a58;324c59541487b1f5a64db059be3b8fbacefab4a4;13ed9f349c;6245bca067;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeTest.java;0
Activiti;e229c4c28afedab0db0f3c5856a87bf1448d5a58;324c59541487b1f5a64db059be3b8fbacefab4a4;13ed9f349c;6245bca067;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeTest.java;0
Activiti;20f1fe0e59fceaea203aa1bda5111cd2c8f1d068;324c59541487b1f5a64db059be3b8fbacefab4a4;22d52429cf;13ed9f349c;activiti-api-impl/activiti-api-task-runtime-impl/src/main/java/org/activiti/runtime/api/impl/TaskRuntimeImpl.java;0
Activiti;20f1fe0e59fceaea203aa1bda5111cd2c8f1d068;324c59541487b1f5a64db059be3b8fbacefab4a4;22d52429cf;13ed9f349c;activiti-api-impl/activiti-api-task-runtime-impl/src/main/java/org/activiti/runtime/api/impl/TaskRuntimeImpl.java;0
Activiti;20f1fe0e59fceaea203aa1bda5111cd2c8f1d068;324c59541487b1f5a64db059be3b8fbacefab4a4;22d52429cf;13ed9f349c;activiti-api-impl/activiti-api-task-runtime-impl/src/main/java/org/activiti/runtime/api/impl/TaskAdminRuntimeImpl.java;0
Activiti;20f1fe0e59fceaea203aa1bda5111cd2c8f1d068;324c59541487b1f5a64db059be3b8fbacefab4a4;22d52429cf;13ed9f349c;activiti-api-impl/activiti-api-task-runtime-impl/src/main/java/org/activiti/runtime/api/impl/TaskAdminRuntimeImpl.java;0
Activiti;c1e0fe067d16c001ae52688dd2d2ffa5c46ceced;1253d375ea819f19fa2d031076ca3d090898d596;f3543483fb;324c595414;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/model/impl/APIProcessInstanceConverter.java;0
Activiti;c1e0fe067d16c001ae52688dd2d2ffa5c46ceced;1253d375ea819f19fa2d031076ca3d090898d596;f3543483fb;324c595414;activiti-api-impl/activiti-api-process-runtime-impl/src/main/java/org/activiti/runtime/api/model/impl/APIProcessInstanceConverter.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/autoconfigure/ProcessExtensionsAutoConfiguration.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/autoconfigure/ProcessExtensionsAutoConfiguration.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/model/Extension.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/model/Extension.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/variable/types/JavaObjectVariableType.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/variable/types/JavaObjectVariableType.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeTest.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-boot-starter/src/test/java/org/activiti/spring/boot/process/ProcessRuntimeTest.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/variable/VariableParsingService.java;0
Activiti;2465cb91ca6f7d9f3ae8d0232d055c2542a62408;4a27b787a495a0549d376cf27c614a797c27789e;d4214dd9f8;324c595414;activiti-spring-process-extensions/src/main/java/org/activiti/spring/process/variable/VariableParsingService.java;0
